Code_base;Base;Ref publi;Code_publi;Exp;Trait;N°Refexp;N°trait_publi;Exp_fact;Description_trait;Nom_trait;Espece;Code_espece;MSI;pH;C2/C3;C2;C3;R_NDF;C_MOdeg;NDFF;%conc
3;Nature/proportion;Galloway1993;52;1;4;521;5214;5211;bermudagrass + sorghum grain;sorghum grain;Steer;2;9,6;6,15;4;69,5;17,5;537;183;504;33
3;Nature/proportion;Galloway1993;52;1;5;521;5215;5211;bermudagrass + blé;wheat;Steer;2;8,4;5,98;3,9;67,5;17,2;562;243;518;31
3;Nature/proportion;Galloway1993A;53;2;1;532;5321;5321;Bermudagrass sans supplément;B-cont;;0;7,2;6,64;3,4;69,5;20,5;757;0;757;0
3;Nature/proportion;Galloway1993A;53;2;2;532;5322;5321;bermudagrass + corn;B-C;;0;7,4;6,55;3,6;68,8;19,1;628;112;603;20
3;Nature/proportion;Galloway1993A;53;2;3;532;5323;5321;bermudagrass + soybean hulls;H;;0;7,8;6,54;3,3;68,6;20,6;724;107;559;26
3;Nature/proportion;Galloway1993A;53;2;4;532;5324;5321;Bermudagrass + corn + soybean hulls;CH;;0;6,8;6,49;3,5;68,2;19,3;678;108;582;23
3;Nature/proportion;Galloway1993A;53;2;5;532;5325;5322;orchardgrass;O-cont;;0;7,2;6,56;3,5;69;19,7;617;0;617;0
3;Nature/proportion;Galloway1993A;53;2;6;532;5326;5322;orchardgrass + corn;O-C;;0;7,5;6,58;3,7;68,4;18,4;516;112;492;20
3;Nature/proportion;Galloway1993A;53;2;7;532;5327;5322;orchardgrass + soybean hulls;O-H;;0;7,8;6,62;3,9;70,1;18,1;621;107;455;26
3;Nature/proportion;Galloway1993A;53;2;8;532;5328;5322;orchardgrass + corn + soybean hulls;O-CH;;0;6,9;6,59;3,4;67,5;19,9;570;108;474;23
3;Nature/proportion;Sarwar1991;55;1;1;551;5511;5511;control - 85 % of NDF from forage;C85;Dairy_heifer;2;9,6;6,15;3,1;63,1;20,4;330;268;270;50
3;Nature/proportion;Sarwar1991;55;1;2;551;5512;5511;corn gluten feed - 45% of NDF from forage;CGF45;Dairy_heifer;2;9,5;5,97;2,8;60,6;21,4;306;401;143;73
3;Nature/proportion;Sarwar1991;55;1;3;551;5513;5511;corn gluten feed - 65% of NDF from forage;CGF 65;Dairy_heifer;2;9,7;6,16;3,5;65;18,5;318;334;207;61
3;Nature/proportion;Sarwar1991;55;1;4;551;5514;5511;Soybean hulls - 45 % of NDF from forage;SH45;Dairy_heifer;2;9,5;5,89;3,3;64,2;19,4;327;370;143;73
3;Nature/proportion;Sarwar1991;55;1;5;551;5515;5511;soybean hulls - 65 % of NDF from forage;SH65;Dairy_heifer;2;9,7;6,07;3,3;63,9;19,6;328;320;207;61
3;Nature/proportion;Grigsby1993;88;1;1;881;8811;8811;bromegrass hay without supplement;H;Steer;2;11,4;6,5;4;70,4;17,7;678;38;678;7
3;Nature/proportion;Grigsby1993;88;1;2;881;8812;8811;bromegrass hay + soybean hulls;SBH;Steer;2;11,4;6,3;4,1;70,2;17,3;686;183;416;43
3;Nature/proportion;Grigsby1993;88;1;3;881;8813;8811;bromegrass hay + soybean hulls (0,42%BW)+ ground corn (0,21 % BW);SBH/GC;Steer;2;11,4;6,3;4;69,2;17,3;611;201;416;43
3;Nature/proportion;Grigsby1993;88;1;4;881;8814;8811;bromegrass hay + sohbean hulls (0,21%BW) + ground corn (0,42 % BW);GC/SBH;Steer;2;11,4;6,2;3,9;67,5;17,3;536;219;416;43
3;Nature/proportion;Grigsby1993;88;1;5;881;8815;8811;bromegrass hay + ground corn;GC;Steer;2;11,4;6,2;4;67,1;16,9;462;236;417;43
3;Nature/proportion;Hall1990;117;1;1;1171;11711;11711;no supplement;C;Beef_cow;2;4,5;6,79;;;;735;0;735;0
3;Nature/proportion;Hall1990;117;1;2;1171;11712;11711;supplement maïs broyé;MZ;Beef_cow;2;6,7;6,7;;;;529;180;490;33
3;Nature/proportion;Hall1990;117;1;3;1171;11713;11712;supplement poured fat;PF;Beef_cow;2;4,7;6,88;;;;690;0;690;6
3;Nature/proportion;Hall1990;117;1;4;1171;11714;11712;supplement maize plus poured fat;MZ-PF;Beef_cow;2;6,9;6,77;;;;511;174;473;36
